"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"1",1,"Wii Sports","WII",-0.0679516422830024,"Sports","Nintendo",50.4794714693772,57.1357221539237,11.9379390303573,44.6049412365547,52.8321816332394
"2",2,"Super Mario Bros.","NES",-3.67401285461008,"Platform","Nintendo",35.283693626701,6.79396956014599,21.7670417113732,3.82805545393762,25.5180172530332
"3",3,"Mario Kart Wii","WII",0.275482758891005,"Racing","Nintendo",19.0838434366442,25.1972045885317,12.0026041795745,17.2966237098346,22.6773441574918
"4",4,"Wii Sports Resort","WII",0.447199959478009,"Sports","Nintendo",18.9613955894026,21.4967691580929,10.3536428745357,15.4407186352031,20.8649690150875
"5",5,"Pokemon Red/Pokemon Blue","GB",-1.78512364815304,"Role-Playing","Nintendo",13.4757320329813,17.3016231086114,32.7924496529074,5.04765021726687,19.817390475329
"6",6,"Tetris","GB",-2.98714405226207,"Puzzle","Nintendo",28.083760208898,4.18189749160091,13.3929048877445,2.82056412770911,19.1040087703401
"7",7,"New Super Mario Bros.","DS",-0.0679516422830024,"Platform","Nintendo",13.610424664947,17.9744295505094,20.7647318985064,15.122563479552,18.9433372151624
"8",8,"Wii Play","WII",0.167300922521174,"Misc","Nintendo",16.855292616848,17.9150642762242,9.22200276323453,14.8574341831761,18.3070778566588
"9",9,"New Super Mario Bros. Wii","WII",0.447199959478009,"Platform","Nintendo",17.5410005614007,13.6803413772194,14.9448684689576,11.7289084859402,18.0500033683745
"10",10,"Duck Hunt","NES",-3.84573005519709,"Shooter","Nintendo",32.6510649110078,0.956384255442984,0.653870491954265,2.23727967568208,17.8507706399542
"11",11,"Nintendogs","DS",-0.239668842870006,"Simulation","Nintendo",10.7818793936672,21.4769807333312,5.98874530237405,14.3271755904242,15.5692345564311
"12",12,"Mario Kart DS","DS",-0.239668842870006,"Racing","Nintendo",11.6879934632547,14.6895510400663,13.1019117162671,9.92602927058387,14.7080350206787
"13",13,"Pokemon Gold/Pokemon Silver","GB",-1.26997204639203,"Role-Playing","Nintendo",10.6961659005981,11.9389599981893,23.0280121211088,3.50990029828651,-15.1897279667846
"14",14,"Wii Fit","WII",0.103765558304001,"Sports","Nintendo",10.6226971922532,15.5998185791048,11.388285262011,11.1456240339131,14.2581546661812
